id,id,full_name,sex,birth_year,city,state,country,continent,latitude,longitude,occupation,industry,domain,article_languages,page_views,average_views,historical_popularity_index
436,6003,Gaspare Spontini,Male,1774,Maiolati Spontini,,Italy,Europe,43.48333,13.116670000000001,Composer,Music,Arts,26,202114,7774,22.8494
4271,5913,Paul J. Crutzen,Male,1933,Amsterdam,,Netherlands,Europe,52.36667,4.9,Chemist,Natural Sciences,Science & Technology,36,288581,8016,22.8988
9209,10240,Duffy,Female,1984,Bangor,,United Kingdom,Europe,53.228,-4.128,Singer,Music,Arts,38,2549982,67105,17.0306
4411,5694,Cemal Gürsel,Male,1895,Erzurum,,Turkey,Asia,39.908609999999996,41.27694,Politician,Government,Institutions,38,786189,20689,23.0143
2355,4490,Ivan Gašparovič,Male,1941,Poltár,,Slovakia,Europe,48.43056,19.7975,Politician,Government,Institutions,52,628389,12084,23.6886
7389,10561,Colbie Caillat,Female,1985,Los Angeles,CA,United States,North America,34.03,-118.75,Musician,Music,Arts,27,5591841,207105,16.2127
9776,7606,Hassan Gouled Aptidon,Male,1916,Lughaya,,Somalia,Africa,10.68778,43.93639,Politician,Government,Institutions,28,127894,4568,21.6618
5565,3902,Vivienne Westwood,Female,1941,Tintwistle,,United Kingdom,Europe,53.4723,-1.9724,Fashion Designer,Design,Arts,27,4109160,152191,24.0096
10100,2189,Karlheinz Stockhausen,Male,1928,Mödrath,,Germany,Europe,50.9,6.71667,Composer,Music,Arts,42,2321932,55284,24.9925
5705,4816,Sophus Lie,Male,1842,Nordfjordeid,,Norway,Europe,61.90611,5.99139,Mathematician,Math,Science & Technology,34,372984,10970,23.5132
2241,3200,Frédéric Joliot-Curie,Male,1900,Paris,,France,Europe,48.8567,2.3508,Physicist,Natural Sciences,Science & Technology,48,915391,19071,24.3881
2120,9165,"Frederik, Crown Prince of Denmark",Male,1968,Copenhagen,,Denmark,Europe,55.676109999999994,12.56833,Nobleman,Government,Institutions,34,992999,29206,19.2639
3028,5857,Subutai,Male,1176,Burkhan Khaldun,,Mongolia,Asia,48.75389000000001,108.66375,Military Personnel,Military,Institutions,28,832892,29746,22.9281
3826,5078,Robert Solow,Male,1924,New York,NY,United States,North America,40.69278,-73.99028,Economist,Social Sciences,Science & Technology,36,911492,25319,23.3643
5615,54,Aesop,Male,-620,Other,,Unknown,,39.020559999999996,31.289170000000002,Writer,Language,Humanities,69,7898719,114474,29.4989
8639,10380,Kim Clijsters,Female,1983,Bilzen,,Belgium,Europe,50.86667,5.5166699999999995,Tennis Player,Individual Sports,Sports,57,4959241,87004,16.6838
8979,3349,Nicodemus,Male,-50,Other,,Unknown,Unknown,,,Religious Figure,Religion,Institutions,28,1387006,49536,24.3122
1636,1534,Userkaf,Male,-2500,Other,,Unknown,Unknown,,,Politician,Government,Institutions,29,248850,8581,25.5015
5024,5156,Robert Bosch,Male,1861,Albeck,,Germany,Europe,48.49667,10.12,Businessperson,Business,Business & Law,27,1043663,38654,23.3146
3825,2579,John Cleese,Male,1939,Weston-super-Mare,,United Kingdom,Europe,51.346000000000004,-2.977,Actor,Film And Theatre,Arts,48,8899553,185407,24.7457
9916,3321,George Marshall,Male,1880,Uniontown,,United States,North America,39.9,-79.72444,Politician,Government,Institutions,52,2750765,52899,24.3237
4502,9429,Edward Furlong,Male,1977,Los Angeles,CA,United States,North America,34.17083,-118.25,Actor,Film And Theatre,Arts,27,8061949,298591,18.7371
8879,831,Clement of Alexandria,Male,150,Athens,,Greece,Europe,37.96667,23.71667,Philosopher,Philosophy,Humanities,41,1187054,28953,26.2738
1505,3312,Victor Vasarely,Male,1906,Pécs,,Hungary,Europe,46.07125,18.23311,Artist,Fine Arts,Arts,30,2160006,72000,24.3293
3072,1495,Peter III of Russia,Male,1728,Kiel,,Germany,Europe,54.333330000000004,10.13333,Politician,Government,Institutions,49,2810467,57356,25.5332
7493,918,Salvador Allende,Male,1908,Valparaíso,,Chile,South America,-33.05,-71.61667,Politician,Government,Institutions,71,7470018,105212,26.1682
6318,1503,Matthias Corvinus of Hungary,Male,1443,Cluj-Napoca,,Romania,Europe,46.76667,23.58333,Politician,Government,Institutions,41,2018697,49237,25.5265
2908,4997,Marie Tussaud,Female,1761,Strasbourg,,France,Europe,48.58,7.75,Sculptor,Fine Arts,Arts,32,935173,29224,23.4093
2312,4115,Crown Prince Rudolf of Austria,Male,1858,Laxenburg,,Austria,Europe,48.06667,16.35,Nobleman,Government,Institutions,32,1660923,51904,23.8786
9194,6401,Mikhail Tal,Male,1936,Riga,,Latvia,Europe,56.94889000000001,24.10639,Writer,Language,Humanities,50,1105892,22118,22.6099
11301,9564,Antonio Saca,Male,1965,Usulután,,El Salvador,North America,13.35,-88.45,Politician,Government,Institutions,30,395281,13176,18.4635
10891,2818,Soseki Natsume,Male,1867,Tokyo,,Japan,Asia,35.68333,139.68333,Writer,Language,Humanities,37,4175800,112859,24.6024
7323,3158,Anne Brontë,Female,1820,Thornton,,United Kingdom,Europe,53.7898,-1.8504,Writer,Language,Humanities,50,1441313,28826,24.4148
571,10410,Jennifer Lawrence,Female,1990,Louisville,KY,United States,North America,38.25,-85.76666999999998,Actor,Film And Theatre,Arts,42,35058386,834723,16.6124
8035,4814,Léon Gambetta,Male,1838,Cahors,,France,Europe,44.4483,1.4414,Politician,Government,Institutions,29,851422,29359,23.5142
1981,6073,Max Delbrück,Male,1906,Berlin,,Germany,Europe,52.51667,13.383329999999999,Physicist,Natural Sciences,Science & Technology,38,292142,7688,22.8145
